,length,LIX,topic,year
0,297,52.91666666666667,Danmark,2011.8020547945205
1,1558,42.37582417582418,VM 2018,2018.535616438356
2,4708,50.85740025740026,Bogfolk,2020.174885844749
3,2223,44.913924050632914,Filmanmeldelser,2006.751598173516
4,415,55.86585365853659,Bøger,2007.2582191780823
5,1600,50.310924369747895,Poptillægget,2023.1189497716894
6,0,44.333333333333336,Medier,2013.0739726027398
7,274,53.395270270270274,Internationalt,2019.6326484018264
8,487,36.758127161479116,Danmark,2019.879908675799
9,0,39.79997730882687,Kroniken,2005.6831050228311
10,382,46.83837510803803,Debat,2021.1776255707764
11,852,42.85714285714286,Kultur,2018.1968036529681
12,1007,43.38405797101449,Global ï¿½konomi,2017.1885844748858
13,202,52.50980392156863,USA,2018.2159817351599
14,296,41.27777777777778,Debatindlï¿½g,2019.5054794520547
15,10,61.13930348258707,Sport,2018.8552511415523
16,286,42.15134370579915,Musik,2014.8360730593606
17,193,45.45238095238095,Danmark,2012.7050228310502
18,597,48.73340874811463,Leder,2012.8157534246575
19,1394,50.78359120521173,Poptillægget,2023.1381278538813
20,413,46.66666666666667,Fødselsdage,2013.5027397260274
21,341,48.80952380952381,Medier,2013.3102739726028
22,164,64.0,Internationalt,2016.9358447488585
23,114,31.666666666666664,Kultur,2014.2050228310502
24,1719,51.4,Sket i ugen,2020.804794520548
25,1734,52.924731182795696,Danmark,2025.4155251141551
26,383,41.333333333333336,Medier,2013.3075342465754
27,110,42.313043478260866,Film og tv,2012.8990867579907
28,1427,57.54651162790697,Debat,2017.893607305936
29,174,45.633720930232556,Debat,2012.7801369863014
30,990,3.0,Dagens tegning,2025.1655251141551
31,1123,75.1764705882353,Kultur,2021.1995433789955
32,2003,36.94805194805195,Kroniken,2020.9577625570778
33,1544,45.65321100917431,Kultur,2019.6995433789955
34,600,44.96153846153846,Dagens tegning,2018.291095890411
35,423,39.285714285714285,Forbrug,2019.1721461187215
36,341,56.57310924369747,NFL,2025.4303652968038
37,203,46.03703703703704,Mad,2016.3908675799087
38,500,48.735915492957744,Danmark,2023.777397260274
39,565,36.0,Motion,2016.4769406392695
40,434,37.63422391857506,Kroniken,2020.2965753424658
41,1355,43.794117647058826,Sket i ugen,2023.4155251141551
42,298,40.85457516339869,Byliv,2015.7746575342467
43,1264,51.73584480036093,Faglitteratur,2013.4440639269408
44,4659,34.22222222222222,iBYEN,2024.6913242009134
45,587,53.434782608695656,Danmark,2024.2269406392695
46,198,45.195402298850574,Global økonomi,2014.9522831050228
47,547,45.04761904761905,Politik,2016.5575342465754
48,64,41.66666666666667,Dagens tegning,2018.0794520547945
49,444,69.66666666666667,Dagens tegning,2017.866210045662
50,471,31.666666666666668,Michael Jarlner,2016.8497716894976
51,667,27.51851851851852,Internationalt,2016.866210045662
52,509,53.333333333333336,Bolig,2012.3075342465754
53,1476,35.93010752688172,Uddannelse,2018.751598173516
54,704,38.10526315789473,Medier,2017.8716894977167
55,1532,39.18723404255319,Danmark,2021.271917808219
56,573,50.701425485961124,Økonomi,2016.352511415525
57,125,46.07142857142857,Internationalt,2006.7406392694065
58,146,41.959223300970876,Filmanmeldelser,2013.169406392694
59,2292,50.02564102564102,Internationalt,2020.8239726027398
60,549,38.90188679245283,Skønlitteratur,2014.054794520548
61,364,41.69642857142857,Guider,2014.8130136986301
62,509,36.421621621621625,Debatindlï¿½g,2018.9182648401825
63,313,48.41269841269841,Leder,2018.8716894977167
64,1370,52.943089430894304,Film og tv,2023.7324200913242
65,428,35.44871794871795,Læserbreve,2014.1244292237443
66,494,35.24242424242424,Bï¿½ger,2017.85799086758
67,609,44.96153846153846,Byliv,2015.4961187214612
68,1515,52.0,Dagens tegning,2025.9182648401825
69,1684,51.362473347547976,Internationalt,2019.763698630137
70,378,32.73674242424242,Debatindlï¿½g,2018.6940639269408
71,189,50.9109940725639,Kroniken,2007.1052511415523
72,1788,48.8107083270135,Kultur,2021.1995433789955
73,649,40.0688524590164,Film og tv,2024.0164383561644
74,370,43.470588235294116,Kultur,2013.4742009132422
75,0,44.20501253132832,Bøger,2005.7050228310502
76,439,23.098039215686278,Økonomi,2007.1381278538813
77,2643,42.333333333333336,Danmark,2007.4824200913242
78,287,42.76830398517146,Film og tv,2013.0602739726028
79,293,43.888888888888886,Danmark,2012.1545662100457
80,307,44.95238095238095,Danmark,2006.866210045662
81,834,34.45864661654135,Internationalt,2018.7965753424658
82,144,43.769230769230774,Oscar,2014.2582191780823
83,147,36.333333333333336,Dagens tegning,2017.8908675799087
84,411,44.333333333333336,Byliv,2015.521917808219
85,40,34.333333333333336,Byliv,2015.602511415525
86,82,49.63636363636363,Medier,2013.5630136986301
87,599,60.46551724137931,Poptillægget,2025.3267123287671
88,123,44.66666666666667,Danmark,2014.4769406392695
89,262,29.77647058823529,Byliv,2015.4385844748858
90,0,37.5,Kultur,2007.4851598173516
91,271,40.833333333333336,Biler,2012.8990867579907
92,302,35.26356589147287,Byliv,2015.4577625570778
93,87,35.413043478260875,Byliv,2015.4769406392695
94,11,49.76829268292683,Økonomi,2016.3497716894976
95,4132,48.643678160919535,Film og tv,2019.5970319634703
96,2476,42.248538011695906,Kroniken,2025.6216894977167
97,2844,48.71139240506329,Bøger,2005.344292237443
98,2256,54.02564102564103,Superligaen,2020.6831050228311
99,319,34.15260545905707,Debatindlæg,2025.651826484018
100,0,48.51098901098901,Kultur,2005.8130136986301
101,960,49.64725555774149,Politik,2016.3634703196346
102,36,32.64055299539171,Feature,2014.2746575342467
103,1560,48.98717948717949,Film og tv,2024.9550228310502
104,824,35.666666666666664,Internationalt,2018.8908675799087
105,188,45.833333333333336,Film og tv,2013.2351598173516
106,438,55.217517642175174,Politik,2016.4413242009134
